# names: 7036 rows -- regenerate with `make baseline`
AC1	sharp
Tenos	one of the Cyclades, between Andros and Delos
Tenthredon	father of Prothous
Tentyra	city in Upper Egypt, the modern village of Denderah
Teos	town in Ionia, the birthplace of the poet Anacreon
Teredon	town of Arabia
Terensis	goddess that presides over threshing
Terentillns	Roman family name
Terentius	Terence, the Roman family name
Terentus	place at the extremity of the Campus Martius
Tereses	people of Spain, Plin 3, 1, 3, § 14
Tereus	king of Thrace, husband of Procne
Tergedum	town of Ethiopia
Tergeste	northernmost town on the coast of Istria, the mod
Terina	town in the Bruttian territory
Termes3	town in Spain, now Lerma
Termessus	town in Pisidia, now Karabunar Kini
Terpsichore	Muse of dancing
Tertullianus	Tertullian, a learned father of the Church
Tethys	sea-goddess, wife of Oceanus
Tetragonis	town in Asia, near the Caucasus
Tetraphylia	town of Athamania in Epirus
Tetrapus	title of the eighth book of Apicius
Tetrica	rocky mountain in the Sabine territory
Teucer	Son of Telamon, king of Salamis
Teuta	queen of Illyria
Teutani	people of the Peloponnesus
Teutates	deity of the Gauls
Teuthras	king of Mysia, father of Thespius, Hyg
Teuticus	Illyrian chief
Teutobodiaci	people of Galatia
Teutoburgiensis	of or belonging to the citadel of the Teutones
Teutomatus	king of the Nitiobriges
Teutoni	Teutons, a people of Germany
Teutria	island in the Ionian Sea
Thabena	city of Numidia, Auct
Thabraca	city of Numidia on the coast of the Mediterranean
Thais	celebrated courtesan of Athens
Thala	important town of Numidia
Thalassa	title of the ninth book of Apicius
Thales	celebrated Greek philosopher of Miletus
Thalia	One of the Muses
Thaliarchus	name given by Horace to the friend
Thalli	people on the Caspian Sea
Thallumetus	slave of Atticus
Thalna	Roman surname of the Juventian gens
Thamyras	Thracian poet who entered into a contest with the Muses
Thapsacus	town of Syria, on the Euphrates, now El-Hammam
Thapsus	peninsula and city in Sicily, now Magnisi
Thasus	island in the north of the Aegean Sea
Thaumaci	people of Thessaly, now Dhomoko
Thaumas	father of Iris
Thebae	Thebes
Thebagenes	born at Thebes
Thebe2	female name
Thebes	city in Samaria
Theium	town of Athamania
Thelxinoe	one of the first four Muses
Themis	goddess of justice and of prophecy
Themiscyra	town in Pontus, on the Thermodon
Themison	celebrated physician of Laodicea in Syria
Themista	female Epicurean philosopher of Lampsacus
Themistocles	celebrated Athenian commander
Theocritus	celebrated Grecian idyllic
Theodamas	king of the Dryopes
Theodectes	Greek orator of Cilicia, a disciple of Plato, Isocrates
Theodorus	Greek sophist of Byzantium
Theodosia	town of the Tauric Chersonese, now Caffa or Feodosia
Theognis	ancient Greek
Theogonia	title of a poem by Hesiod
Theologumena	speculations on divine things
Theon	satirical
Theophane	daughter of Bisaltes, loved by Poseidon
Theophanes	Greek historian of Mitylene, a friend of Pompey
Theophilus	freedman of M. Marcellus
Theophrastus	Greek philosopher of Eressus
Theopompos	Greek historian and orator, a pupil of Isocrates
Thera	island in the Aegean Sea
Theramenes	one of the thirty tyrants of Athens
Therapnae	small town in Laconia, the birthplace of Helen
Therasia	small island in the Aegean Sea, opposite to Thea
Thericles	famous potter of Grecian antiquity
Therme	town in Macedonia, afterwards Thessalonica
Thermodon	river of Pontus, on which dwelt the Amazons
Thermopylae	famous defile of Oeta
Thermus	Roman surname in the Minucian gens
Therodamas	Scythian king
Thersites	Greek before Troy, famous for his ugliness and scurrility
Thesaurochrysonicochrysides	facetiously-formed proper name
Theseus	king of Athens, son of Aegeus
Thespiae	town in Boeotia, at the south-eastern foot of Helicon
Thespis	founder of the Greek drama
Thesproti	people in the south-western part of Epirus
Thesprotus	king of the region about Puteoli
Thessalia	country of Thessaly
Thessalonica	city of Macedonia, on the Sinus Thermaicus, now Saloniki
Thessalonice	daughter of Philip, king of Macedon
Thestius	king of Aetolia, father of Leda and Althaea
Thestor	father of the soothsayer Calchas
Thetidium	town of Thessaly
Thetis	sea-nymph, daughter of Nereus and Doris, wife of Peleus
Theudoria	town of Athamania, now Thodhoriana
Theuma	village of Thessaly
Theumesus	mountain of Boeotia, near Thebes
Thia	wife of Hyperion
Thiatis	name of one of the Egyptian months
Thibii	fabulous people of Pontus
Thimanli	people of Arabia
Thirmida	town of Numidia
Thisbe	little town on the coast of Boeotia
Thoas	king of the Chersonesus Taurica
Thorius	Roman family name
Thoth	Egyptian name of the fifth Mercury
Thracia	Thrace
Thrascias	north-by-a-third-northwest wind
Thrasea	Roman name
Thraso	name of a braggart soldier in Terence's Eunuch
Thrasybulus	liberator of Athens, his native city
Thrasyllus	court astrologer of Tiberius
Thrasymachus	celebrated Grecian sophist of Chalcedon
Thrausi	Thracian people
Thronium	town of the Locri Epicnemidii on the Boagrius
Thucydides	celebrated Greek historian
Thule	island in the extreme nortl of Europe
Thuriae	town in Calabria, in the territory of the Salentines
Thurii	city of Lucania, on the Tarentine Gulf
Thyamis	river in Epirus, now the Calamas
Thyatira	town of Lydia, now Ak-hissar
Thyene	one of the Hyades who nursed Jupiter and Bacchus
Thyestes	son of Pelops and brother of Atreus
Thyias	Bacchante
Thymbra2	city in Troas, with a temple of Apollo
Thymele	celebrated female dancer
Thyni	Thracian people
Thyone	mother of the fifth Bacchus, enumerated
Thyre	little town in the Peloponnesus
Thyreum	town in Acarnania, near Leucas
Thyrsagetae	people of Asiatic Sarmatia, on the Wolga
Thyrsis	name of a shepherd
Tibarani	people in Cili, cia, upon Mount Amanus
Tibareni	people of Asia, on the Black Sea
Tiberis	river Tiber, now Tevere
Tiberius	Roman praenomen
Tibigensis	of or belonging to the town Tibiga, in Numidia
Tibilis	town in Numidia
Tibricola	dweller by the Tiber, Prud
Tibullus	celebrated Roman elegiac poet
Tibur	ancient town of Latium on both sides of the Anio
Tiburtus	founder of the town of Tibur
Tichius	one of the summits of Mount Oeta
Ticida	obscene Latin
Ticinum	city in Gallia Cisalpina, on the river Ticinus
Ticinus	river Ticinus, in Gallia Cisalpina
Tifata1	mountain ridge north of Capua, now Monte Maddaloni
Tifata2	N. cr
Tifernum	name of three towns of Italy
Tifernus	mountain in Samnium
Tigellius	name of two musicians
Tigillus	epithet of Jupiter
Tigranes	king of Armenia, son-in-law of Mithridates
Tigranocerta	capital city of Greater Armenia
Tigris2	river Tigris
Tigurinus	district in Helvetia, perh. the mod
Tillius	senator and tribune, reproached by Horace for rudeness
Timaeus	Greek historian of Sicily, under Agathocles
Timagenes	learned and plain-speaking rhetorician of the time of Augustus
Timanthes	celebrated Greek painter, contemporary with Parrhasius
Timarchides	sculptor
Timarchus	sculptor
Timarete	female painter
Timavus	river in Istria, between Aquileia and Trieste
Timochares	courtier of Pyrrhus
Timocrates	Epicurean philosopher of the third century
Timoleon	Corinthian general
Timomachus	eminent painter of Byzantium
Timon	celebrated misanthrope of Athens
Timotheus	Son of Conon, leader of the Athenians
Tinge	town of Mauritania, now Tangiers
Tiphys	pilot of the Argo
Tirenus pons	bridge at Minturnae
Tiresias	celebrated blind soothsayer of Thebes
Tiridates	name of several kings of Armenia
Tiro2	Roman proper name
Tiryns	very ancient town in Argolis
Tisaeus	mountain of Thessaly, now Bardjora
Tisagoras	brother of Miltiades
Tisamenus	son of Orestes
Tisanusa	town and harbor of Caria
Tisias	Sicilian who wrote on oratory
Tisicrates	sculptor of Sicyon, father of the painter Arcesilas
Tisiphone	one of the Furies
Tisse	little town in Sicily, now Randazzo
Titanomachia	battle with the Titans
Titarisos	river of Thessaly
Tithoes	Egyptian king, builder of the labyrinth
Tithonus	son of Laomedon, consort of Aurora
Titinius	Roman comic poet of the ante-class. period
Titius	Roman family name
Titurius	legate of Caesar in the Gallic war
Titurnius	Roman family name
Titus	Roman praenomen
Tityos	giant, son of Jupiter
Tityrus	name of a shepherd in Virgil's Eclogues
Tityus	river of Illyria
Tlepolemus	son of Hercules, leader of the Rhodians before Troy
Tmaros	mountain in Epirus
Tmolus	mountain of Lydia in which the Pactolus rises
Toletum	town of Spain, now Toledo
Tolistobogii	people of Galatia
Tolosa	city in Gallia Narbonensis, now Toulouse
Tolumnius	king of the Veientes
Tomis	town of Moesia, on the Pontus Euxinus
Tomyris	Scythian queen
Topica	title of a work of Aristotle
Toranius	slavedealer at the time of the second Triumvirate
Torini	people of Scythia
Torone	town of Chalcidice in Macedonia
Torquatus2	surname of T. Manlius
Trabea2	ancient Roman comic
Trachala	Bullnecked, an epithet of Constantine
Trachallus	orator contemporary with Quintilian
Trachas	town usually called Tarracina, near the Pomptine Marshes
Trachin	town of Thessaly, on Mount Oeta
Tracticius	Dragged, a nickname of Heliogabalus
Tragasaeus	of or belonging to the town Tragasa in Troas
Tragurium	town in Dalmatia
Trajanus	Trajan, a Roman emperor
Tralles1	town in Lydia, the modern Aidin Guzel - Hissar
Tralles2	people of Illyria
Tranio	name of a man
Transalpibus	from beyond the Alps, Transalpine
Transalpinus	that is or lies beyond the Alps, Transalpine
Transbeneventanus	lying beyond Beneventum
Transdanubianus	situated beyond the Danube, Transdanubian
Transpadanus	that is beyond the Po, Transpadane
Transrhenanus	that is beyond the Rhine, Transrhenish
Transthebaitanus	that is beyond Thebais
Transtiberinus	that is beyond the Tiber, Transtiberine
Transtigritanus	that is beyond the Tigris, Transtigritane
Trapezus	city in Pontus, now Trebizond
Trasumenus	lake in Etruria, near Perusia
Trausius	name of a man
Trebatius	lawyer, a friend of Cicero
Trebellius	Roman family name
Trebia1	river in Upper Italy
Trebia2	village in Umbria, now Trevi
Trebius	Roman family name
Trebonius	Roman family name
Trebula	name of three Italian towns
Treveri	people in Gallia Belgica
Triarius	surname in the gens Valeria
Triballi	people of Lower Moesia
Tribocci	German people on the left shore of the Rhine
Tribonianus	celebrated jurist in the time of the emperor Justinian
Tricca	town of Thessaly, on the Peneus, now Trikala
Tricipitinus	surname in the gens Lucretia
Tricorii	people of Gallia Narbonensis
Trifolinus	of or belonging to Mount Trifolium near Naples
Trimontium	later name of the city Philippopolis in Thrace
Trinacria	island of Sicily
Trinobantes	people in the eastern part of Britain
Trinummus	name of a comedy by Plautus
Triocala	mountain-fortress in Sicily, between Selinus and Heraclea
Triones	constellation of the Wain
Triopas	king of Thessaly, the father of Erisichthon
Triphallus	epithet of Priapus
Triphylia	name of the southern portion of Elis
Tripolis	name of several districts of country and of towns
Triporticus	triple porch
Triptolemus	son of Celeus, king of Eleusis and of Metanira
Trismegistus	epithet of Mercury
Trispithami	race of dwarfs beyond India
Tristatae	three highest nobles of a country next to the king
Tritannus	gladiator famous for his bodily strength
Tritia	inland town of Achaia, near the confines of Elis
Triton	son of Neptune and the nymph Salacia, a sea-god
Tritopatreus	son of Jupiter by Proserpine
Triumphatrix	Triumphant, a name given to the ninth legion
Trivicum	small town in the mountains between Samnium and Apulia
Trocmi	people of Galatia
Troezen	very ancient city of Argolis
Trogini	people of Galatia
Troglodytae	people of Ethiopia who dwelt in caves, the Troglodytes
Trogus Pompeius	Roman historian in the time of Augustus
Troilus	son of Priam
Trojugena	Troy-born
Tromentina tribus	one of the tribus rusticae
Tropaeophorus	Tropny-bearer, an epithet of Jupiter, App. de Mundo
Trophonius	brother of Agamedes
Tros1	king of Phrygia, after whom Troy was named
Trosmis	town of Lower Moesia, on the Ister
Trossuli	name given to the Roman cavalry, from Trossulum
Truentum	town of Picenum, on the river Truentus
Trypherus	Roman skilled in caroing
Tryphon	surgeon
Tubantes	people of Germany, between the Rhine and the Elbe
Tubero	surname in the gens Aelia
Tubertus	Roman surname in the gens Postumius
Tubulus2	Roman surname in the gens Hostilia
Tuccius	Roman family name
Tuder	town in Umbria, near the Tiber, now Todi
Tudicius	Roman family name
Tuditanus	surname in the gens Sempronia, Enn. ap
Tugio	jurist in the time of Cicero
Tuisco	progenitor of the Germans
Tulingi	German or Helvetic tribe on the Rhine
Tulliola	pet name for Tullia, the daughter of Cicero
Tullius	Roman family name
Tullus	Roman proenomen
Tunes	maritime town of Africa Propria, now Tunis
Tungri	people of Gallia Belgica, near the modern Tongres
Turbo3	name of a gladiator
Turdetani	people of Hispania Baetica, near the mod
Turduli	people in Boetica
Turia	river in Hispania Tarraconensis, now the Turia or Guadalaviar
Turius	Roman family name
Turnus	king of the Rutuli
Turones	people in Gallia Lugdunensis, on the Liger
Turpilius	Roman family name
Turranius	Roman family name
Tusce	in the Tuscar language or manner
Tusci	inhabitants of Etru ria, the Tuscans, Etruscans, Etrurians
Tusculum2	very ancient town of Latium
Tutanus	name of a Roman guardian deity
Tutelina	guardian deity, tutelar goddess
Tuticanus	name of a man
Tutienses	ancient people of Latium
Tutilius	name of a rhetorician of Rome
Tutini	people of Calabria
Tutunus	Priapus
Tyana	city in Cappadocia, the birthplace of the philosopher Apollonius
Tyba	village on the Euphrates, now Taibe
Tycha	name of a part of Syracuse in the west
Tychius	celebrated shoemaker of Boeotia
Tydeus	son of Oeneus and Periboea
Tyndareus	king of Sparta, son of Oebalus
Typhoeus	giant
Typhon2	another name for the giart Typhoeus
Tyrannio	grammarian and geographer contemporary with Cicero
Tyras	river in Sarmatia, now the Dniester
Tyro	daughter of Salmoneus
Tyrrheni	Tyrrhenians
Tyrrheus	shepherd of King Latinus
Tyrtaeus	Athenian poet
Tyrus	Tyre
Ubii	Germanic people
Ucalegon	name of a Trojan
Ucubis	city of Hispania Baetica
Ufens	small river in Latium
Uffugum	town in the territory of the Bruttii, now Fagnano
Ulia	town of Hispania Baetica, Auct
Ulixes	Latin name for Odysseus, Engl
Ulpianus	celebrated Roman jurist under the emperors Septimius Severus, Caracalla
Ulpius	Roman family name
Ulubrae	small town of Latium, by the Pontine Marshes
Ulurtini	people of Lower Italy
Umbrenus	fellowconspirator with Catiline
Umbri	people of Italy, in the district of Umbria
Umbricius	haruspex in the service of Otho
Unelli	people in Gallia Lugdunensis
Unionitae	Unionites, Unitarians, a religious sect that denied the Trinity
Unomammia	Single-breasted land
Unxia	goddess of anointing
Upis	father of the third Diana
Urania	Muse of astronomy
Uranus	father of Saturn
Urbicus2	name
Urbigenus pagus	canton in Helvetia, perh. the mod
Urbinum	town in Umbria
Urbius	in Rome on the Esquiline Hill
Urios	title of Jupiter
Uscana	town of Illyria
Usipetes	Germanic people on the Rhine, near the Tenchteri
Uspe	town of Asiatic Scythia
Ustica	small hill in the Sabine country, near Horace's villa
Utens2	river in Cisalpine Gaul, now the Montone
